global_step,game_idx,total_env_steps,buffer_size,batch_size,replay_capacity,elapsed_sec,steps_per_sec
132,39,3242,3242,256,20000,4412.522045269958,0.7347272074199133
133,39,3242,3242,256,20000,4412.5570040609455,0.7347213864923074
134,40,3264,3264,256,20000,4445.08652379096,0.7342939181342011
135,40,3264,3264,256,20000,4445.122559597017,0.7342879653459781
136,40,3264,3264,256,20000,4445.158555319998,0.7342820192754701
137,40,3264,3264,256,20000,4445.193861262989,0.7342761872420603
138,41,3364,3364,256,20000,4577.487854304025,0.7349009122628186
139,41,3364,3364,256,20000,4577.522354376037,0.7348953734292681
140,41,3364,3364,256,20000,4577.556948762969,0.734889819537708
141,41,3364,3364,256,20000,4577.591660086997,0.7348842469570708
142,42,3436,3436,256,20000,4676.352957744966,0.7347606203054677
143,42,3436,3436,256,20000,4676.387491062051,0.7347551943818181
144,42,3436,3436,256,20000,4676.422308122972,0.734749723957062
145,42,3436,3436,256,20000,4676.4570034879725,0.7347442727340874
146,43,3460,3460,256,20000,4708.174179923022,0.7348920978230611
147,43,3460,3460,256,20000,4708.209423749009,0.7348865967064191
148,43,3460,3460,256,20000,4708.244387601037,0.7348811393715594
149,43,3460,3460,256,20000,4708.279319831054,0.7348756870533659
150,44,3483,3483,256,20000,4738.802413044032,0.7349958273028415
151,44,3483,3483,256,20000,4738.838412574027,0.7349902437606256
152,44,3483,3483,256,20000,4738.874152053031,0.7349847006363428
153,44,3483,3483,256,20000,4738.90990561503,0.7349791554114734
154,45,3611,3611,256,20000,4917.508595308056,0.7343149340797014
155,45,3611,3611,256,20000,4917.543792320997,0.7343096782663666
156,45,3611,3611,256,20000,4917.579079170944,0.7343044091135956
157,45,3611,3611,256,20000,4917.615434473031,0.7342989804949953
158,46,3630,3630,256,20000,4947.324999399949,0.7337298439945376
159,46,3630,3630,256,20000,4947.361630151048,0.733724411386756
160,46,3630,3630,256,20000,4947.399499697029,0.7337187951412244
161,46,3630,3630,256,20000,4947.439530779957,0.733712858422291
162,47,3651,3651,256,20000,4976.205245436053,0.7336916023205694
163,47,3651,3651,256,20000,4976.24019756401,0.7336864490157153
164,47,3651,3651,256,20000,4976.275469849003,0.7336812485806345
165,47,3651,3651,256,20000,4976.310369663988,0.7336761031339216
166,48,3689,3689,256,20000,5028.413870934048,0.7336309410256944
167,48,3689,3689,256,20000,5028.450406946009,0.7336256105666727
168,48,3689,3689,256,20000,5028.4864839060465,0.7336203471575099
169,48,3689,3689,256,20000,5028.52259721898,0.7336150785203189
170,49,3727,3727,256,20000,5084.234546959051,0.7330503668893814
171,49,3727,3727,256,20000,5084.270088282996,0.733045242539159
172,49,3727,3727,256,20000,5084.30564018595,0.7330401167353289
173,49,3727,3727,256,20000,5084.34163304104,0.7330349274289052
174,50,3763,3763,256,20000,5137.740918908967,0.7324230745366386
175,50,3763,3763,256,20000,5137.776120838942,0.7324180562748117
176,50,3763,3763,256,20000,5137.811115417979,0.7324130676403559
177,50,3763,3763,256,20000,5137.846311038942,0.7324080504150133
178,51,3808,3808,256,20000,5197.615679292008,0.7326436264173163
179,51,3808,3808,256,20000,5197.651475762017,0.7326385806662261
180,51,3808,3808,256,20000,5197.687069754,0.7326335635246752
181,51,3808,3808,256,20000,5197.722209539032,0.7326286104731478
182,52,3858,3858,256,20000,5267.623453708948,0.732398591870414
183,52,3858,3858,256,20000,5267.658547017025,0.7323937126077984
184,52,3858,3858,256,20000,5267.693494517007,0.7323888536824861
185,52,3858,3858,256,20000,5267.729103805963,0.732383902811664
186,53,3890,3890,256,20000,5316.096793649951,0.7317398743842632
187,53,3890,3890,256,20000,5316.134628621046,0.7317346665859417
188,53,3890,3890,256,20000,5316.17080249195,0.7317296874992365
189,53,3890,3890,256,20000,5316.2067741099745,0.731724736318454
190,54,3960,3960,256,20000,5422.588713270961,0.7302785089174294
191,54,3960,3960,256,20000,5422.627391712973,0.730273299996934
192,54,3960,3960,256,20000,5422.666165400995,0.7302680783240076
193,54,3960,3960,256,20000,5422.702536358032,0.7302631802959996
194,55,3980,3980,256,20000,5451.940143499989,0.7300153514607287
195,55,3980,3980,256,20000,5451.976461112034,0.7300104885610976
196,55,3980,3980,256,20000,5452.014189829002,0.7300054367842409
197,55,3980,3980,256,20000,5452.054441318964,0.7300000472917428
198,56,4072,4072,256,20000,5585.580199396005,0.7290200578339784
199,56,4072,4072,256,20000,5585.6228418940445,0.7290144922529739
200,56,4072,4072,256,20000,5585.667509504943,0.729008662450963
201,56,4072,4072,256,20000,5585.70639798895,0.7290035869887581
202,57,4122,4122,256,20000,5671.7549778020475,0.7267591805592036
203,57,4122,4122,256,20000,5671.797019300051,0.7267537935461398
204,57,4122,4122,256,20000,5671.837580761989,0.7267485962540955
205,57,4122,4122,256,20000,5671.874847001047,0.7267438212568231
206,58,4250,4250,256,20000,5858.446563270991,0.7254482829364693
207,58,4250,4250,256,20000,5858.482848740998,0.7254437897540889
208,58,4250,4250,256,20000,5858.519698968041,0.7254392266955463
209,58,4250,4250,256,20000,5858.557075702003,0.7254345984997923
210,59,4282,4282,256,20000,5907.125590011943,0.7248872458781331
211,59,4282,4282,256,20000,5907.165968102054,0.7248822909534379
212,59,4282,4282,256,20000,5907.2029432050185,0.7248777536796042
213,59,4282,4282,256,20000,5907.24147103203,0.7248730259289552
214,60,4410,4410,256,20000,6110.598800461041,0.7216968653984072
215,60,4410,4410,256,20000,6110.643053442007,0.7216916389046701
216,60,4410,4410,256,20000,6110.683011210989,0.721686919761535
217,60,4410,4410,256,20000,6110.721674951026,0.7216823535061991
218,61,4438,4438,256,20000,6150.61036915204,0.7215544041382431
219,61,4438,4438,256,20000,6150.647595194052,0.7215500370184974
220,61,4438,4438,256,20000,6150.684222511947,0.721545740188807
221,61,4438,4438,256,20000,6150.720880663954,0.7215414397931401
222,62,4471,4471,256,20000,6202.859497557045,0.7207965941773908
223,62,4471,4471,256,20000,6202.896067550057,0.7207923446258709
224,62,4471,4471,256,20000,6202.932235597051,0.7207881418310631
225,62,4471,4471,256,20000,6202.968007429969,0.7207839851252816
226,63,4516,4516,256,20000,6265.652854050975,0.7207549005975076
227,63,4516,4516,256,20000,6265.687691282947,0.7207508931992931
228,63,4516,4516,256,20000,6265.72419264901,0.7207466944201282
229,63,4516,4516,256,20000,6265.758873831015,0.720742705063405
230,64,4575,4575,256,20000,6348.894213004038,0.7205979256402347
231,64,4575,4575,256,20000,6348.928647242021,0.7205940173839225
232,64,4575,4575,256,20000,6348.9634623000165,0.7205900659479667
233,64,4575,4575,256,20000,6348.997748935944,0.72058617452916
234,65,4625,4625,256,20000,6422.663543747971,0.7201062251660567
235,65,4625,4625,256,20000,6422.70281571697,0.7201018220370062
236,65,4625,4625,256,20000,6422.741174513008,0.7200975213438647
237,65,4625,4625,256,20000,6422.779512353009,0.7200932230515904
238,66,4645,4645,256,20000,6452.374675786006,0.7198899991706018
239,66,4645,4645,256,20000,6452.415001858957,0.7198855000277824
240,66,4645,4645,256,20000,6452.451608387986,0.7198814159197482
241,66,4645,4645,256,20000,6452.486406989046,0.7198775335611312
242,67,4723,4723,256,20000,6568.908137170016,0.7189931570628935
243,67,4723,4723,256,20000,6568.948959877947,0.7189886888826967
244,67,4723,4723,256,20000,6568.989391844021,0.7189842635252266
245,67,4723,4723,256,20000,6569.028006925946,0.7189800370801256
246,68,4742,4742,256,20000,6600.342749314965,0.7184475382724878
247,68,4742,4742,256,20000,6600.378811819013,0.7184436128891126
248,68,4742,4742,256,20000,6600.415439588018,0.7184396260208713
249,68,4742,4742,256,20000,6600.452091298997,0.71843563659088
250,69,4870,4870,256,20000,6782.718852297985,0.7180011594244459
251,69,4870,4870,256,20000,6782.7569659829605,0.7179971248305278
252,69,4870,4870,256,20000,6782.791954146,0.7179934211343751
253,69,4870,4870,256,20000,6782.827234223019,0.7179896865761559
254,70,4986,4986,256,20000,6954.288013688987,0.7169677169230607
255,70,4986,4986,256,20000,6954.324842037982,0.7169639200430046
256,70,4986,4986,256,20000,6954.361566139967,0.7169601339505115
257,70,4986,4986,256,20000,6954.397935886052,0.7169563844299541
258,71,5016,5016,256,20000,7001.740253266995,0.716393327738707
259,71,5016,5016,256,20000,7001.777428871952,0.7163895240823331
260,71,5016,5016,256,20000,7001.814614414005,0.7163857194496428
261,71,5016,5016,256,20000,7001.855561494012,0.7163815300025579
262,72,5077,5077,256,20000,7109.438374927966,0.7141211066551288
263,72,5077,5077,256,20000,7109.473648302956,0.7141175635712341
264,72,5077,5077,256,20000,7109.5116770180175,0.7141137437627045
265,72,5077,5077,256,20000,7109.5488931220025,0.7141100056167624
266,73,5101,5101,256,20000,7148.73223909596,0.7135530929670238
267,73,5101,5101,256,20000,7148.773451054003,0.7135489794053995
268,73,5101,5101,256,20000,7148.818786773947,0.7135444542862629
269,73,5101,5101,256,20000,7148.857373386039,0.7135406028647517
270,74,5158,5158,256,20000,7236.058726390009,0.71281897992186
271,74,5158,5158,256,20000,7236.096164784045,0.712815291911469
272,74,5158,5158,256,20000,7236.132123106043,0.7128117497370925
273,74,5158,5158,256,20000,7236.168666239944,0.7128081499902625
274,75,5183,5183,256,20000,7273.42660836305,0.712593977925142
275,75,5183,5183,256,20000,7273.4664300639415,0.7125900765248236
276,75,5183,5183,256,20000,7273.510631451965,0.7125857460890725
277,75,5183,5183,256,20000,7273.552111685043,0.7125816822943294
278,76,5256,5256,256,20000,7387.3733702040045,0.7114842768336825
279,76,5256,5256,256,20000,7387.408448279952,0.7114808984500893
280,76,5256,5256,256,20000,7387.443786627031,0.7114774950321201
281,76,5256,5256,256,20000,7387.478867291007,0.7114741164636831
282,77,5313,5313,256,20000,7480.148808568018,0.7102799871994938
283,77,5313,5313,256,20000,7480.189530445961,0.7102761204612478
284,77,5313,5313,256,20000,7480.229307175032,0.7102723435100811
285,77,5313,5313,256,20000,7480.269505060976,0.7102685266092816
286,78,5371,5371,256,20000,7576.3112300640205,0.7089201904334406
287,78,5371,5371,256,20000,7576.355279132025,0.7089160687585022
288,78,5371,5371,256,20000,7576.39741833997,0.7089121258341825
289,78,5371,5371,256,20000,7576.443255316,0.7089078369631351
290,79,5398,5398,256,20000,7626.258934610989,0.707817561176914
291,79,5398,5398,256,20000,7626.295444409945,0.7078141726015507
292,79,5398,5398,256,20000,7626.330941847991,0.7078108780173092
293,79,5398,5398,256,20000,7626.3661784159485,0.7078076076752459
294,80,5443,5443,256,20000,7706.249821471982,0.7063098298259327
295,80,5443,5443,256,20000,7706.29793345998,0.706305420189769
296,80,5443,5443,256,20000,7706.344022921985,0.7063011959769996
297,80,5443,5443,256,20000,7706.392095510033,0.7062967900596765
298,81,5465,5465,256,20000,7749.672104096971,0.7051911263588626
299,81,5465,5465,256,20000,7749.719310241053,0.7051868308027808
300,81,5465,5465,256,20000,7749.760398025042,0.7051830920337494
301,81,5465,5465,256,20000,7749.804054258973,0.705179119592922
302,82,5494,5494,256,20000,7805.8408790349495,0.7038319234454128
303,82,5494,5494,256,20000,7806.053840536973,0.7038127217967115
304,82,5494,5494,256,20000,7806.2753678150475,0.7037927489275534
305,82,5494,5494,256,20000,7806.486762910965,0.7037736906315255
306,83,5525,5525,256,20000,7864.65346439695,0.7025102917771914
307,83,5525,5525,256,20000,7864.696950015961,0.7025064074450812
308,83,5525,5525,256,20000,7864.738759013009,0.7025026729169277
309,83,5525,5525,256,20000,7864.7816422840115,0.7024988424720569
310,84,5571,5571,256,20000,7942.877475901041,0.7013830966048012
311,84,5571,5571,256,20000,7942.91913650895,0.7013794178507211
312,84,5571,5571,256,20000,7942.96195036103,0.7013756373019995
313,84,5571,5571,256,20000,7943.005765403039,0.7013717683884018
314,85,5596,5596,256,20000,7984.446571678971,0.7008626020304463
315,85,5596,5596,256,20000,7984.489755089977,0.7008588114766688
316,85,5596,5596,256,20000,7984.530726231984,0.7008552151493609
317,85,5596,5596,256,20000,7984.574085162021,0.700851409269183
318,86,5621,5621,256,20000,8025.33611317398,0.7004068017503784
319,86,5621,5621,256,20000,8025.376883659046,0.7004032435467619
320,86,5621,5621,256,20000,8025.416642655968,0.7003997736545876
321,86,5621,5621,256,20000,8025.459674312966,0.7003960181858613
322,87,5705,5705,256,20000,8164.210888636997,0.6987815574362805
323,87,5705,5705,256,20000,8164.251524728024,0.6987780793769764
324,87,5705,5705,256,20000,8164.2945412610425,0.6987743976124134
325,87,5705,5705,256,20000,8164.340940119,0.6987704263997635
326,88,5762,5762,256,20000,8262.548126391019,0.6973635628936146
327,88,5762,5762,256,20000,8262.584266375052,0.6973605126726163
328,88,5762,5762,256,20000,8262.619680891978,0.6973575237070542
329,88,5762,5762,256,20000,8262.655000019004,0.6973545428178651
330,89,5779,5779,256,20000,8288.560611273046,0.6972260047347835
331,89,5779,5779,256,20000,8288.599612209946,0.6972227240277052
332,89,5779,5779,256,20000,8288.639871743973,0.6972193374814906
333,89,5779,5779,256,20000,8288.679558138945,0.6972159991787108
334,90,5797,5797,256,20000,8324.467269683955,0.6963808988848469
335,90,5797,5797,256,20000,8324.514044543961,0.6963769859694645
336,90,5797,5797,256,20000,8324.558110399055,0.6963732997140564
337,90,5797,5797,256,20000,8324.602907901048,0.696369552293954
338,91,5828,5828,256,20000,8378.728892934043,0.6955709003682974
339,91,5828,5828,256,20000,8378.77506071399,0.6955670677120878
340,91,5828,5828,256,20000,8378.818328010966,0.6955634758801961
